Respondents,European,Canadian,Japanese,X6.19,X5.49,X4.79,Rich.full.bodied,Regular,Crisp.and.clear,Strong,Mild,Very.mild,Full,Regular.1,Low,Six.12Oz.Large,Six.12Oz.Small,Four.16Oz,Green.Label,Brown.Label,Brown.Painted,Respondents,Weekly_Consumption,Age_1_7,Income_1_7,Education_1_6,Sex_M_1_F_2,clusters,classes
6861,0,8,12,0,16,23,8,0,10,10,6,0,0,21,13,4,0,11,9,0,13,6861,2,5,4,5,1,2,2
4393,19,0,15,16,0,3,31,0,20,0,7,13,6,0,8,0,4,8,1,5,0,4393,6,4,6,6,1,1,1
7393,20,0,4,9,3,0,0,0,11,0,13,6,9,0,23,17,0,8,0,6,3,7393,2,2,3,5,2,1,1
964,17,3,0,6,14,0,0,3,24,11,0,6,6,8,0,0,6,14,0,12,7,964,8,5,5,5,2,3,3
461,18,1,0,2,3,0,7,0,13,0,12,2,26,7,0,19,0,1,0,1,9,461,12,5,4,2,1,1,1
5785,17,5,0,9,3,0,17,0,13,0,14,6,1,0,25,13,0,11,0,5,5,5785,8,2,6,3,1,1,1
4946,21,0,17,0,4,4,4,2,0,0,15,8,31,10,0,15,8,0,4,9,0,4946,3,6,5,2,1,1,1
428,6,0,8,1,0,10,0,3,1,0,21,20,26,3,0,18,1,0,15,2,0,428,3,2,3,5,2,1,1
4465,8,0,15,5,0,2,10,30,0,2,3,0,9,3,0,0,17,33,0,4,1,4465,6,4,3,3,1,2,2
2478,17,0,0,10,2,0,34,0,8,0,12,6,0,0,12,9,0,4,0,6,4,2478,6,6,6,6,1,1,1
4263,13,5,0,12,13,0,0,1,4,0,13,13,2,0,30,22,0,16,0,5,5,4263,6,4,4,5,1,1,1
4305,0,11,19,0,24,17,0,0,5,10,5,0,6,7,0,9,0,15,0,3,19,4305,4,6,7,6,1,2,2
3004,14,0,26,18,5,0,10,3,0,0,4,12,0,7,17,12,0,3,5,4,0,3004,8,6,4,5,1,1,1
702,13,0,16,13,16,0,2,0,5,8,17,0,4,3,0,32,0,8,0,4,10,702,6,5,5,2,1,1,1
6778,17,0,24,5,0,10,12,0,11,0,8,8,4,0,21,20,0,14,4,1,0,6778,6,4,7,5,1,1,1
7247,20,12,0,15,10,0,3,0,5,0,33,8,4,10,0,11,3,0,4,0,6,7247,7,2,1,2,1,1,1
6024,24,0,8,12,10,0,0,10,6,16,13,0,8,0,10,19,0,18,0,5,8,6024,6,3,4,6,1,1,1
6172,14,0,10,2,8,0,0,3,17,0,6,1,1,0,24,16,0,13,0,12,14,6172,48,7,5,2,1,3,3
2590,0,13,11,0,9,19,2,0,11,7,17,0,0,12,7,14,0,17,9,0,11,2590,4,6,4,5,1,2,2
6293,17,0,20,11,11,0,15,0,10,0,19,18,0,13,5,9,0,8,7,0,14,6293,0,4,6,5,1,1,1
5520,24,1,0,5,2,0,32,0,19,0,16,11,12,0,3,2,0,2,0,2,9,5520,48,4,7,5,1,1,1
1868,0,10,14,20,0,23,0,0,4,14,14,0,0,25,17,0,10,14,6,1,0,1868,4,5,5,5,1,2,2
5996,18,3,0,0,2,6,8,0,14,0,8,5,0,21,11,13,6,0,0,13,18,5996,12,5,4,3,2,3,3
301,14,7,0,1,0,0,28,0,19,0,19,14,2,0,14,10,2,0,0,2,13,301,12,4,6,5,1,1,1
7018,23,0,15,5,9,0,12,0,13,0,16,1,10,1,0,13,0,1,0,12,16,7018,12,4,6,5,1,1,1
3570,6,13,0,0,1,13,0,7,5,0,5,19,0,14,0,15,0,14,0,17,20,3570,50,5,3,6,1,3,3
4829,0,10,1,0,10,13,21,0,13,0,10,10,0,8,27,14,0,13,2,0,6,4829,4,5,5,6,1,2,2
5575,0,23,11,1,3,0,5,7,0,23,0,4,0,27,28,0,6,11,1,0,3,5575,27,4,5,3,1,2,2
6100,10,0,8,12,16,0,14,0,17,0,9,6,16,0,15,25,0,10,2,0,8,6100,24,5,3,4,1,1,1
3950,21,0,1,6,0,2,27,0,3,0,16,5,5,0,5,18,0,15,0,2,7,3950,2,6,6,6,1,1,1
1241,22,0,20,8,9,0,0,2,3,12,9,0,1,7,0,23,6,0,0,4,24,1241,10,4,5,5,2,3,3
1729,0,24,8,0,33,26,1,4,0,11,0,12,0,3,1,11,0,9,9,0,12,1729,4,6,6,6,1,2,2
4970,13,0,3,0,6,3,13,0,9,0,9,5,0,24,20,17,0,0,0,12,17,4970,15,6,5,6,1,3,3
6021,14,0,6,16,2,0,8,0,13,0,27,7,10,0,3,14,0,10,5,0,5,6021,2,6,6,6,2,1,1
3528,26,0,10,0,0,0,0,10,11,0,6,4,0,20,13,17,1,0,0,19,20,3528,12,6,5,2,1,3,3
2899,9,0,11,6,3,0,21,0,8,0,9,5,33,0,22,15,0,11,5,2,0,2899,25,4,6,3,1,1,1
616,15,0,6,3,14,0,0,3,20,0,14,4,0,17,15,7,3,0,0,8,13,616,6,7,7,3,1,3,3
141,12,0,5,6,11,0,1,10,0,13,26,0,2,7,0,0,4,17,0,15,18,141,4,5,4,3,2,3,3
1173,16,1,0,0,3,12,1,0,13,6,9,0,0,23,10,14,3,0,0,7,14,1173,5,7,4,2,1,3,3
525,25,0,32,9,4,0,9,0,7,4,7,0,8,0,5,18,4,0,18,7,0,525,5,6,7,5,1,1,1
166,1,0,1,0,5,4,41,0,8,13,18,0,16,0,5,8,1,0,0,10,5,166,4,7,7,5,1,1,1
382,11,0,12,0,2,4,38,1,0,7,0,4,0,5,9,17,0,12,0,8,13,382,12,3,7,5,1,3,3
4953,4,0,8,5,3,0,11,0,18,10,23,0,13,2,0,6,0,12,21,0,11,4953,5,5,5,5,1,1,1
5789,17,0,5,11,4,0,6,0,3,0,15,7,28,0,10,10,0,1,0,14,8,5789,6,4,7,3,1,1,1
